Marca temporal,¿Por qué has elegido la asignatura?,¿Qué esperas aprender en la asignatura?,Sugerencias,Conocimientos previos
23/09/2015 12:38:15,"Amigos o conocidos la han elegido, Temática",Lo único que he leído sobre la asignatura es lo que hay en la guía docente. Siempre me ha llamado la atención los mecanismos que hay para implantar virtualización. ,,"git y github, Javascript, Herramientas de construcción: gulp, grunt, Makefile"
24/09/2015 12:50:28,"Profesor, Temática",Como montar una infraestructura que de soporte a aplicaciones,,"git y github, Herramientas de construcción: gulp, grunt, Makefile"
24/09/2015 18:41:19,"No la he elegido, es obligatoria, Temática",Aprender sobre los servicios cloud disponibles y como usarlos de manera eficiente y productiva.,,"Javascript, Ruby, Python o Perl"
25/09/2015 9:34:15,"No la he elegido, es obligatoria","Tras la presentación de la asignatura, aún no se lo que se va a ver ni en teoría ni en prácticas. No sé de qué va la asignatura. ",,git y github
25/09/2015 9:37:38,"No la he elegido, es obligatoria",Cómo dar soporte para el funcionamiento de aplicaciones y temas relacionados con virtualización.,,"git y github, Javascript, Uso de recursos en nube: Heroku u Openshift, Azure, Herramientas de construcción: gulp, grunt, Makefile"
25/09/2015 9:39:26,"No la he elegido, es obligatoria","Pues la verdad no tengo mucha idea al respecto, aunque me suena bien y tiene buena pinta.",,"git y github, Javascript, Uso de recursos en nube: Heroku u Openshift, Azure, Herramientas de construcción: gulp, grunt, Makefile"
25/09/2015 9:39:32,"No la he elegido, es obligatoria","Espero aprender cosas sobre virtualización,infraestructuras virtuales y mejorar mis conocimientos sobre GitHub",,"git y github, Ruby, Python o Perl"
25/09/2015 9:40:52,Exclusión de otras.,No tengo mucha idea y espero  aprender como montar infraestructuras virtuales,,"git y github, Javascript"
25/09/2015 9:42:15,"No la he elegido, es obligatoria",No lo se,,Javascript
25/09/2015 12:58:08,"Temática, Forma de impartirla",Como montar una infraestructura real para integración continua y despliegues,,"git y github, Desarrollo basado en test, Javascript, Uso de recursos en nube: Heroku u Openshift, Azure, Ruby, Python o Perl, Herramientas de despliegue: flightplan o similares, Herramientas de construcción: gulp, grunt, Makefile"
25/09/2015 13:37:44,"No la he elegido, es obligatoria",Desarrollar una aplicación y proyectarla a un entorno virtual tipo cloud.,,"Javascript, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
25/09/2015 21:08:56,"Profesor, Temática, Forma de impartirla",Entender y usar prataformas virtuales las cuales desconozco y son interesantes y útiles.,,"Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
28/09/2015 15:56:33,"No la he elegido, es obligatoria",Aprender recursos de la nube y aprender la infraestrucutura,,git y github
29/09/2015 1:54:46,Exclusión de otras.,"Entender perfectamente lo que es ""software libre"" en todos sus ámbitos y hacer de git-hub algo casi imprescindible.",,"Herramientas de construcción: gulp, grunt, Makefile"
29/09/2015 9:51:39,"No la he elegido, es obligatoria",A manejar de manera más enficiente todos los entornos de virtualización.,,Javascript
29/09/2015 9:58:40,"No la he elegido, es obligatoria",Espero aprender a desplegar una aplicación web de forma correcta entre otras cosas.,,"git y github, Javascript"
29/09/2015 10:36:16,"No la he elegido, es obligatoria",Definir plataformas virtuales para proveerlas a distintas actividades como el desarrollo de aplicaciones.,,"git y github, Javascript, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
29/09/2015 18:33:49,Temática,Me parece muy interesante el tema SaaS y creo que es un campo en crecimiento y con posibilidad de ganarse la vida con ello.,,"git y github, Javascript, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
29/09/2015 23:34:10,"No la he elegido, es obligatoria",Temas prácticos para poder aprender interactuando,,"git y github, Desarrollo basado en test, Javascript, Herramientas de construcción: gulp, grunt, Makefile"
29/09/2015 23:35:15,"No la he elegido, es obligatoria",Temas prácticos para poder aprender interactuando,,"git y github, Desarrollo basado en test, Javascript, Herramientas de construcción: gulp, grunt, Makefile"
30/09/2015 11:34:28,"No la he elegido, es obligatoria, Horario, Temática",Aprender cosas sobre Infraestructura Virtual y realizar un proyecto interesante.,,"Javascript, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
30/09/2015 11:36:58,"No la he elegido, es obligatoria, Amigos o conocidos la han elegido, Temática",Espero aprender cosas útiles sobre las infraestructuras virtuales así como hacer un buen proyecto.,,"Javascript, Herramientas de construcción: gulp, grunt, Makefile"
30/09/2015 18:04:33,"Profesor, Horario",Tengo poca idea.,,"git y github, Ruby, Python o Perl"
1/10/2015 11:20:02,"No la he elegido, es obligatoria",como se organiza el funcionamiento de una aplicación como twiter.,,"Ruby, Python o Perl"
7/10/2015 1:17:56,"No la he elegido, es obligatoria",Tengo poca idea sobre cloud computing y me gustaría aprender más sobre ello.,,Javascript
9/10/2015 13:53:35,"No la he elegido, es obligatoria, Profesor, Número de aprobados en años anteriores","Conocer diferentes tecnologías relacionadas con la virtualización (Computación nube, Utility Computing, Software as a Service o Google AppSpot)","No sé, que puedo sugerir a día de hoy. ","Javascript, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
14/10/2015 0:18:39,"No la he elegido, es obligatoria",Mantener una aplicación en un entorno abstracto,Notificar por correo de los eventos semanales y de lo que se espera del alumnado con respecto a las fechas de entrega.,"git y github, Javascript, Uso de recursos en nube: Heroku u Openshift, Azure"
24/09/2016 13:21:14,Temática,"Aprovechamento de todos los recursos disponibles a través de la virtualización.

Además la asignatura permite sacar mayor partido al uso de git y github.",,"Ruby, Python o Perl"
