Marca temporal,¿Por qué has elegido la asignatura?,¿Qué esperas aprender en la asignatura?,Conocimientos previos,"¿Has hecho el ""curso 0"" impartido por uno de los profesores sobre desarrollo basado en test?",No he asistido al curso 0 sobre desarrollo basado en test por... 
21/09/2020 19:22:54,"No la he elegido, es obligatoria",No tengo mucha idea pero todo el mundo me dice que es muy útil e interesante ,"git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Ruby",No,No he tenido conocimiento del mismo
21/09/2020 19:23:07,"Temática, Utilidad para el resto de las asignaturas o mi trabajo",Espero ganar más experiencia en la nube y en las herramientas necesarias para trabajar de forma rápida y eficiente con ella.,"git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript/Node/TypeScript/Deno, Uso de recursos en nube: Heroku u Openshift, Azure, Python, Ruby, Herramientas de construcción: gulp, grunt, webpack, Microservicios/microframeworks REST, Herramientas de integración continua",Sí,
21/09/2020 19:23:40,"No la he elegido, es obligatoria, Temática",Acerca de como virtualizar los recursos de un sistema para su máximo aprovechamiento y eficiencia ,"git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones",No,No he tenido conocimiento del mismo
21/09/2020 19:28:13,"No la he elegido, es obligatoria, Horario, Temática, Utilidad para el resto de las asignaturas o mi trabajo",Acercarme más al mundo de virtual del voy a empezar a trabajar y acercarme más al mundo de github. ,"git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript/Node/TypeScript/Deno, Python, Ruby",No,No he tenido conocimiento del mismo
21/09/2020 19:45:31,"Profesor, Amigos o conocidos la han elegido, Temática, Número de aprobados en años anteriores, Utilidad para el resto de las asignaturas o mi trabajo",Mi idea es aprender de cero a montar una aplicación . Juntar todos los conceptos que hemos aprendido durante la carrera,"git y github, Desarrollo basado en test, Javascript/Node/TypeScript/Deno, Uso de recursos en nube: Heroku u Openshift, Azure, Python, Herramientas de construcción: gulp, grunt, webpack, Microservicios/microframeworks REST, Herramientas de integración continua",No,Son conocimientos que ya he adquirido (trabajo/por mi cuenta)
21/09/2020 21:25:55,"Amigos o conocidos la han elegido, Temática",Aprender mucho git y crear frameworks,"git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones",No,No he tenido conocimiento del mismo
21/09/2020 22:20:21,Utilidad para el resto de las asignaturas o mi trabajo,Cloud,"git y github, Ruby",Sí,
22/09/2020 10:53:14,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","Git, virtualización","Python, Ruby",No,No he tenido conocimiento del mismo
22/09/2020 11:05:31,"No la he elegido, es obligatoria",Ni idea,"git y github, Ruby",No,No he tenido conocimiento del mismo
22/09/2020 11:08:14,"Profesor, Temática, Número de aprobados en años anteriores, Utilidad para el resto de las asignaturas o mi trabajo",No lo se,"git y github, Javascript/Node/TypeScript/Deno",No,No he tenido conocimiento del mismo
22/09/2020 11:19:57,Temática,Uso de contenedores y virtualización,Ruby,No,No he tenido conocimiento del mismo
22/09/2020 11:22:49,Temática,entender y saber crear infraestructuras virtuales ,Javascript/Node/TypeScript/Deno,No,No he tenido conocimiento del mismo
22/09/2020 11:27:16,"No la he elegido, es obligatoria, Amigos o conocidos la han elegido, Utilidad para el resto de las asignaturas o mi trabajo",Espero aprender docker y a desplegar software en la nube,"git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Ruby",No,No he tenido conocimiento del mismo
22/09/2020 11:41:15,Utilidad para el resto de las asignaturas o mi trabajo,Cloud Computing,"Javascript/Node/TypeScript/Deno, Python, Ruby",No,No he tenido conocimiento del mismo
22/09/2020 11:43:41,Amigos o conocidos la han elegido,Cosas utiles,"git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Ruby",No,Incompatible con mis horarios de trabajo
22/09/2020 11:59:39,"No la he elegido, es obligatoria, Profesor, Amigos o conocidos la han elegido",DevOps,"git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript/Node/TypeScript/Deno, Python, Ruby",No,No he tenido conocimiento del mismo
