Marca temporal,¿Por qué has elegido la asignatura?,¿Qué esperas aprender en la asignatura?,Conocimientos previos
7/09/2018 14:03:30,"Profesor, Temática, Forma de impartirla",Espero enfrentarme a un proyecto software realista desde el primer día y aprender todas las fases de su desarrollo,"git y github, Javascript, Python, Herramientas de construcción: gulp, grunt, Makefile"
11/09/2018 19:27:09,Temática,"Espero ahondar en temas como el funcionamiento del cloud, Infraestructuras como servicio (IaaS), pros y contras de los diversos RAID...","git y github, Javascript, Uso de recursos en nube: Heroku u Openshift, Azure"
11/09/2018 20:22:26,Temática,"Conceptos de virtualización, devops, servicios virtuales, etc","git y github, Desarrollo basado en test, Python, Herramientas de construcción: gulp, grunt, Makefile"
11/09/2018 22:38:01,"No la he elegido, es obligatoria, Temática",Despliegue de aplicaciones ,"git y github, Uso de recursos en nube: Heroku u Openshift, Azure, Python"
11/09/2018 23:15:57,Utilidad para el resto de las asignaturas o mi trabajo,"manejar mejor los recursos de cualquier maquina, usar recursos en la nube o virtualizados.","git y github, Herramientas de construcción: gulp, grunt, Makefile"
12/09/2018 12:12:09,"Temática, Utilidad para el resto de las asignaturas o mi trabajo",Espero aprender a saber manejar a la perfección las maquinas virtuales y todos sus entornos posibles,git y github
12/09/2018 12:12:32,"Profesor, Horario, Amigos o conocidos la han elegido, Temática",Ahora mismo no tengo mucha idea pero espero que contenidos útiles y actuales.,"git y github, Javascript, Herramientas de construcción: gulp, grunt, Makefile"
12/09/2018 12:13:24,"Amigos o conocidos la han elegido, Temática, Utilidad para el resto de las asignaturas o mi trabajo",Cosas útiles y actuales.,"git y github, Herramientas de construcción: gulp, grunt, Makefile"
12/09/2018 12:15:22,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","Tests, git","git y github, Javascript"
12/09/2018 12:16:06,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","Reforzar conocimientos sobre docker, aprender a realizar test (uso de Jenkins y Travis). Aprender a desplegar software a producción de forma correcta y reforzar conocimientos de trabajo con control de versiones","git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript, Python"
12/09/2018 12:16:26,"No la he elegido, es obligatoria",¯\_(ツ)_/¯,"git y github, Herramientas de construcción: gulp, grunt, Makefile"
12/09/2018 12:17:54,"Temática, Utilidad para el resto de las asignaturas o mi trabajo",Aprender a montar un entorno virtual y aprender a utilizar git de una manera mas avanzada,git y github
12/09/2018 12:18:15,"No la he elegido, es obligatoria",( ͡° ͜ʖ ͡°),"git y github, Python, Herramientas de construcción: gulp, grunt, Makefile"
12/09/2018 12:21:50,Utilidad para el resto de las asignaturas o mi trabajo,"Sobre todo conocimientos para mí salida al mercado laboral, actualizar todo tipo de herramientas, que al final de este año, las domine de tal forma que no me encuentre un ""no"" a la hora de realizar una entrevista de trabajo","git y github, Javascript"
12/09/2018 12:25:46,"No la he elegido, es obligatoria",Despliegue de aplicaciones en la red.,git y github
12/09/2018 18:00:57,"No la he elegido, es obligatoria",Crear algo útil desde 0 y conocer todaa las herramientas y posibilidades disponibles,"git y github, Herramientas de construcción: gulp, grunt, Makefile"
12/09/2018 20:04:43,"Amigos o conocidos la han elegido, Temática","Espero encontrar algo más que simples transparencias en un proyector, aprender sobre las infraestructuras virtuales, y tengo curiosidad por como será el proyecto que tenemos que realizar.","git y github, Herramientas de construcción: gulp, grunt, Makefile"
13/09/2018 20:42:27,"No la he elegido, es obligatoria","Me gustaría aprender más acerca de herramientas de desarrollo que yo no conozco y afianzar las que considero bajo mi juicio, qué si conozco","git y github, Python, Herramientas de construcción: gulp, grunt, Makefile"
13/09/2018 20:56:17,"Amigos o conocidos la han elegido, Forma de impartirla",Conocimientos que pueda aplicar en un futuro para mis trabajos o proyectos.,"git y github, Javascript, Herramientas de construcción: gulp, grunt, Makefile"
14/09/2018 17:08:13,Horario,Los contenidos necesarios para desarrollar un servicio virtual,Javascript
14/09/2018 23:55:55,"No la he elegido, es obligatoria",Contenidos que me sean útiles para el trabajo de fin de grado ,git y github
17/09/2018 10:52:56,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","Virtualización, contenedores, devops, servicios en la nube (PaaS)","git y github, Desarrollo basado en test, Javascript, Python, Herramientas de construcción: gulp, grunt, Makefile"
17/09/2018 11:00:03,"No la he elegido, es obligatoria, Utilidad para el resto de las asignaturas o mi trabajo",Poder aprender y conocer las técnicas para virtualizar cualquier proyecto ,"git y github, Javascript, Python"
17/09/2018 12:24:55,Utilidad para el resto de las asignaturas o mi trabajo,"Conocer un poco más el funcionamiento de las infraestructuras virtuales, y como se aplican en las empresas.","git y github, Javascript, Herramientas de construcción: gulp, grunt, Makefile"
17/09/2018 12:33:01,"Horario, Temática, Utilidad para el resto de las asignaturas o mi trabajo",Saber cómo virtualizar servicios en función de las necesidades que tenga y saber cuando es más rentable tener un servidor virtual y cuando es más entable tener un servidor físico. ,"git y github, Perl"
17/09/2018 12:37:00,"Profesor, Amigos o conocidos la han elegido, Temática, Utilidad para el resto de las asignaturas o mi trabajo",Aprender bien a usar Git además de manejar con facilidad y entenderme con dockers y tests. Mejorar en Python. ,"git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Python, Herramientas de construcción: gulp, grunt, Makefile"
17/09/2018 14:10:10,"No la he elegido, es obligatoria, Horario, Forma de impartirla","Espero encontrar situaciones más reales a la hora de afrontar un tema práctico, y usar tecnologías y herramientas actuales para aprender como se trabaja con un un centro de proceso de datos virtual.","git y github, Javascript, Herramientas de construcción: gulp, grunt, Makefile"
17/09/2018 18:06:27,"No la he elegido, es obligatoria, Profesor",Espero poder seguir adquiriendo conocimientos en tecnologías de actualidad que me sean de utilidad de cara a mi futuro profesional.,"git y github, Javascript, Python, Herramientas de construcción: gulp, grunt, Makefile"
17/09/2018 22:04:58,"Amigos o conocidos la han elegido, Temática","Espero completar los conocimientos previos relacionados con la asignatura, que he aprendido por necesidad, para tener una visión general mas completa del proceso de testeo y despliegue de aplicaciones.","git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript, Python, Herramientas de construcción: gulp, grunt, Makefile"
18/09/2018 1:23:07,"No la he elegido, es obligatoria","Cosas tipo como tener aplicaciones en la nube de forma virtual, virtualización, etc",Perl
19/09/2018 10:17:33,"No la he elegido, es obligatoria",Aprender a desarrollar servicios web ,git y github
19/09/2018 12:59:42,"Profesor, Amigos o conocidos la han elegido, Temática, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo, Me gusta el tema","Aprender desarrollo basado en test, Docker, cloud services...","git y github, Javascript, Uso de recursos en nube: Heroku u Openshift, Azure, Python"
20/09/2018 0:06:57,Temática,Implantar MicroServicios a más bajo nivel.,Javascript
21/09/2018 9:33:01,"Temática, Utilidad para el resto de las asignaturas o mi trabajo",Manejar el github a la perfección y desarrollar un servicio web,git y github
21/09/2018 9:49:34,Utilidad para el resto de las asignaturas o mi trabajo,Desarrollar aplicación con uso de servidor en la nube.,git y github
21/09/2018 10:05:52,"No la he elegido, es obligatoria",El desarrollo y diseño de una aplicación web,"git y github, Javascript, Python"
21/09/2018 10:18:18,"No la he elegido, es obligatoria",Microservicios y uso de recursos de la nube,"git y github, Desarrollo basado en test, Javascript, Uso de recursos en nube: Heroku u Openshift, Azure, Herramientas de construcción: gulp, grunt, Makefile"
21/09/2018 10:39:03,Temática,Conocer las infraestructuras virtuales y como gestionarlas,"git y github, Javascript, Python"
22/09/2018 15:51:04,"No la he elegido, es obligatoria","manejo de git,manejo de proyectos realizando test y uso de azure, etc...",Javascript
25/09/2018 20:02:53,"No la he elegido, es obligatoria",asd,git y github
30/09/2018 19:21:58,"No la he elegido, es obligatoria",Utilidades de cara al futuro,"git y github, Herramientas de construcción: gulp, grunt, Makefile"
16/09/2019 11:44:11,Temática,Virtualizacion y despliegue de aplicaciones,"git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Python"
16/09/2019 17:54:02,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","Uno de los motivos por el que elegí esta asignatura es que tengo un gran desconocimiento sobre la temática que se imparte y me producía una gran curiosidad aprenderla y, además, había escuchado que el contenido que se da en la asignatura resultaba muy útil de cara al mundo laboral y a la hora de ponerse con la práctica (por así decirlo). Por tanto, es de suponer que lo que espero de la asignatura es comprobar que lo que me impulsó a cogerla es real y hallar conocimientos sobre las infraestructuras virtuales y demás.              ","git y github, Python, Herramientas de construcción: gulp, grunt, Makefile"
18/09/2019 13:24:05,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","Uso de Git, buenas prácticas de trabajo y creación de microservicios.","git y github, Javascript, Python, Herramientas de construcción: gulp, grunt, Makefile"
19/09/2019 10:11:51,Utilidad para el resto de las asignaturas o mi trabajo,Manejo de git y de utilidades importantes de cara al futuro laboral,"Python, Herramientas de construcción: gulp, grunt, Makefile"
