Marca temporal,¿Por qué has elegido la asignatura?,¿Qué esperas aprender en la asignatura?,Sugerencias,Conocimientos previos
22/09/2016 10:45:12,"No la he elegido, es obligatoria",Aprender más sobre la virtualización para que nos sea útil para la vida laboral.,,"git y github, Javascript, Ruby, Python o Perl"
22/09/2016 17:10:27,"Profesor, Temática, Me encanta todo lo virtual","Poder montar de manera correcta cualquier parte de un CPD que tenga que tener algo en producción.
Se montar diferentes partes de un CPD hardware de Networking, Servidores de Producción, infraestructura de Red, pero no se como hacerlo ""correctamente""",,"git y github, Chef/ansible/docker u otras herramientas de gestiónd e configuraciones, Uso de recursos en nube: Heroku u Openshift, Azure"
22/09/2016 17:32:27,"Profesor, Temática","Antes de comenzar la asignatura, creía que su temario iba a consistir sobre máquinas virtuales, configuraciones de las mismas, etc... pero tras la presentación he visto que aprenderemos sobre el mundo de trabajar y programar en la nube con el uso de software de control de versiones como github, lo cual me parece interesante. Ya que hoy en día la mayoría de las empresas utilizan este software para la realización de sus proyectos. ","Creo que el temario en dicha web esta un poco liado / confuso, ya que tras haber estado mirando el temario de la asignatura, prácticas, etc... el ir de un enlace a otro he perdido varias veces el hilo de donde me encontraba y no encontraba como volver al inicio para leer otra información.","git y github, Desarrollo basado en test, Javascript, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
23/09/2016 10:18:36,Temática,Aprender un poco sobre las distintas tecnicas de virtualizacion para elegir en cada caso cual nos conviene mas.,,Javascript
23/09/2016 12:23:30,"No la he elegido, es obligatoria, Amigos o conocidos la han elegido",Aprender a desarrollar un proyecto de una forma parecida a la que podría hacerse en una empresa aprendiendo a utilizar git y software libre.,,"git y github, Javascript, Herramientas de construcción: gulp, grunt, Makefile"
23/09/2016 15:24:51,"No la he elegido, es obligatoria, Solo me quedan asignaturas de Cuarto",Montar sistemas en la nube con una infraestructura por debajo que mantenga dicho sistema,,git y github
23/09/2016 18:06:18,"No la he elegido, es obligatoria","Aprender todo lo necesario para ""desplegar"" una aplicación o servicio web, es decir, todo lo que hay que hacer menos el desarrollo del código de la aplicación.",,"git y github, Javascript, Ruby, Python o Perl"
23/09/2016 21:57:51,"No la he elegido, es obligatoria, Amigos o conocidos la han elegido","Pienso que aprenderemos a desplegar proyectos web que hemos hecho en otras asignaturas, además de testearlos.",,"Desarrollo basado en test, Javascript, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
24/09/2016 15:18:58,"Amigos o conocidos la han elegido, Temática","Por lo que la gente comenta, tiene mucho que ver con SWAP de tercero, la cual me gustó mucho y quisiera aprender más sobre la misma temática.",,"git y github, Herramientas de construcción: gulp, grunt, Makefile"
24/09/2016 18:14:04,"No la he elegido, es obligatoria",Lo que me enseñen,,"git y github, Javascript, Uso de recursos en nube: Heroku u Openshift, Azure, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
25/09/2016 16:18:00,"No la he elegido, es obligatoria","Conocer procesos de virtualización, tecnologías de virtualización y mantenimiento de servidores virtuales.",,"Javascript, Herramientas de construcción: gulp, grunt, Makefile"
25/09/2016 16:46:58,"Profesor, Temática",Todo lo relacionado con el deploy y mantenimiento de aplicaciones y servicios web.,,"git y github, Desarrollo basado en test, Javascript, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
26/09/2016 0:11:29,"No la he elegido, es obligatoria","Espero aprender cómo se implanta un servicio web, no centrándonos en el código (cuyo desarrollo se estudia en otras asignaturas) sino en la infraestructura sobre la que éste se ejecuta (servidores de aplicaciones, contenedores web, etc.)",,"git y github, Javascript, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
28/09/2016 16:45:43,Temática,Lo necesario sobre infraestructuras virtuales que se pueden usar en un proyecto. ,,"git y github, Javascript, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
28/09/2016 17:59:12,"No la he elegido, es obligatoria",Administración de maquinas virtuales,,"Ruby, Python o Perl"
30/09/2016 12:34:24,"Profesor, Temática, Forma de impartirla","Despliegue de infraestructuras en la nude, manejo de sistemas de control de versiones (Git), metodologías de desarrollo ágil e integración continua.",,"Javascript, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
30/09/2016 12:43:27,"No la he elegido, es obligatoria, Temática",Lo básico del despliegue y trabajo en el ámbito de la nube.,"Hasta el momento no se ha comentado nada de ""teoría"".","Uso de recursos en nube: Heroku u Openshift, Azure"
30/09/2016 13:08:23,"Horario, Temática",Aprender los diferentes métodos y opciones de virtualización en la nube para montar un alojamiento de web o aplicación.,ninguna,Javascript
30/09/2016 13:34:48,Pensaba que iria sobre servidores y la virtualizacion,"Una vez conocido que mi idea iniciar era equivoca con respecto a el tipo de virtualización.
Estoy deseando aprender el funcionamiento distribuido para un funcionamiento concreto, ya que después de varias clases comprendo mejor el sentido de la asignatura y la manera de trabajar.","Con respecto a la practica 0, no he encontrado la suficiente información iniciar para empezar, ya que se suponía que conocíamos el programa con el que íbamos a trabajar y no todos los alumnos lo conocíamos, tal vez unas lecciones previas o un enlace que recomiende un curso de 10-15 de su uso para el inicio.","Javascript, Ruby, Python o Perl, Herramientas de construcción: gulp, grunt, Makefile"
30/09/2016 14:33:28,"No la he elegido, es obligatoria",Como desplegar servicios que ayuden a nuestro sistema web,,git y github
30/09/2016 17:46:42,"No la he elegido, es obligatoria, Temática"," Comprender que es la virtualización, máquinas virtuales, mucha teoría sobre como funcionan estas y cosas asi.
Al hablar de virtualización antes de comenzar la asignatura no la asociaba con conceptos como nube o con esa especie de telón que separa al usuario de los programas que automatizan la tarea que desea hacer el usuario. ",Antes de mojarse en elegir un proyecto haber dado algo más de que se puede hacer con la virtualización porque hasta hace una semana lo único que sabía de virtualización es que aisla y que está relacionado con máquinas virtuales. Se agradece el uso de github y en poder profundizar un poco más en lo que es el software libre.,"git y github, Chef/ansible/docker u otras herramientas de gestiónd e configuraciones, Ruby, Python o Perl"
