Objetivo;Estudiante;Entrega;Correccion;Incompleto
0;593FA92322C4E5C6CF3D126A5B9EF;2021-09-12T12:38:38+02:00;2021-09-21T20:04:10+02:00;Completo
0;FC5EB03260C79DFCF11A1B42DB5FF79;2021-09-17T13:52:24+02:00;2021-09-23T14:14:39+02:00;Completo
0;9662C55436CC15B3AD8AC3B23E259A1D;2021-09-24T17:38:03+02:00;2021-09-24T20:25:38+02:00;Completo
0;FD34CBD5FDDC181E8AC9423A27104B55;2021-09-17T13:39:23+02:00;2021-09-17T17:39:10+02:00;Completo
0;1E31FB8A2D6BC04DF96EFA2BD7A7B622;2021-09-23T13:05:45+02:00;2021-09-24T20:25:38+02:00;Completo
0;78E465D23ECD603C4BD76CF46B4D51E;2021-10-03T13:28:30+02:00;2021-10-14T13:51:35+02:00;Completo
0;ECF3E3582C216E63B19549C85371CEF;2021-09-16T20:07:40+02:00;2021-09-17T17:22:49+02:00;Completo
0;B7CBEA2D4891B6427D8D199C3952481;2021-09-17T13:53:51+02:00;2021-09-17T19:48:02+02:00;Completo
0;D4B61A523EEB5C6CA4B76269DD08;2021-09-17T09:46:00+02:00;2021-09-17T17:34:45+02:00;Completo
0;A943C8FB20521B54D0E8909828F2D81D;2021-09-21T17:55:39+02:00;2021-09-22T13:11:54+02:00;Completo
0;D2626683DD32562E86A2D56C9AAED54;2021-10-03T13:06:08+02:00;2021-10-03T13:22:51+02:00;Completo
0;EB92EA94A82F77C51181AC99C2DCC3;2021-09-21T00:08:30+02:00;2021-10-03T13:28:30+02:00;Completo
0;D0CED9DDA8DCEBFC21AE7E0633F9179;2021-09-17T19:58:06+02:00;2021-09-17T20:03:54+02:00;Completo
0;B67FE0DDA769857859F777991828BD18;2021-09-24T20:25:38+02:00;2021-10-14T13:51:35+02:00;Completo
0;687B799F3F2F4BA1E236F48E62262658;2021-09-16T15:57:53+02:00;2021-09-17T17:22:49+02:00;Completo
0;A9B14046CDB1D538916FB24F188B48E;2021-09-19T17:42:16+02:00;2021-09-21T12:34:29+02:00;Completo
0;FB445C4D6B7CF24219D0E98D1A48949;2021-09-17T13:20:18+02:00;2021-09-21T00:08:30+02:00;Completo
0;3BDEE7678FE7FC5DDD75AA7BF8288BF7;2021-09-21T00:08:30+02:00;2021-09-24T20:25:38+02:00;Completo
0;30CAB910CB833A6A87CC96FA7793C6D2;2021-09-18T11:54:53+02:00;2021-09-22T13:01:41+02:00;Completo
0;EBEABA5144FD295D51ED2854A4DF8D44;2021-09-17T17:43:39+02:00;2021-10-03T13:28:30+02:00;Completo
0;7311FF7E2B925D36243F5F99314AAFC;2021-09-17T19:40:52+02:00;2021-09-17T19:48:02+02:00;Completo
0;95CFFA89C509ADE28E1AB788379F6F4;2021-09-19T16:46:00+02:00;2021-09-20T17:57:20+02:00;Completo
0;BB27C0383E9D6F515BCBA7361E485A4;2021-09-22T17:56:43+02:00;2021-10-03T13:28:30+02:00;Completo
0;3C3EDC31AEAF8A958C4271FCE761BCFD;2021-09-18T10:43:27+02:00;2021-09-24T20:25:38+02:00;Completo
0;427B5A8A997665E724DA742DF9520A3;2021-09-24T20:26:41+02:00;2021-10-04T18:24:56+02:00;Completo
0;371123959749CDEB43262A178F934DDC;2021-09-17T14:02:42+02:00;2021-10-02T09:21:13+02:00;Completo
0;BFD382339323741BF2F0FDF8D447CB5C;2021-09-22T18:10:15+02:00;2021-10-14T13:51:35+02:00;Completo
0;199E904FCA8132B8CC4B5718598E0CE;2021-09-23T13:04:20+02:00;2022-09-01T21:01:16+02:00;Incompleto
0;EDA21C5ABAEFDF0D573F6ADDDE32BA1;2021-09-18T14:17:08+02:00;2021-09-24T20:01:05+02:00;Completo
0;9E92E549A9287C7A1F08E3F999D4EC9;2021-09-17T12:20:14+02:00;2021-09-21T12:34:29+02:00;Completo
0;DBBE942EB09F934B37B13C8F3FE163;2021-09-17T19:45:44+02:00;2021-09-19T12:32:40+02:00;Completo
0;8936268A4314A8736AA5F612464E8E39;2021-09-24T20:25:38+02:00;2021-10-14T13:51:35+02:00;Completo
0;6550A03E61ED7E35D2F3D7EEDF7E14B;2021-09-22T12:27:12+00:00;2022-09-01T21:01:16+02:00;Incompleto
0;E395A8927B43B7883FACA67F5FD4121;2021-10-01T07:23:02+02:00;2021-10-03T13:28:30+02:00;Completo
0;9FA5C0A57A3898085745391D737BA94;2021-09-24T20:25:38+02:00;2021-10-02T09:52:18+02:00;Completo
0;E2E541D86071B488CCDAD6AFBC9D6532;2021-09-17T08:29:18+02:00;2021-09-21T00:08:30+02:00;Completo
0;C3574537C1172050F85AC1EBE4C9FEBB;2021-09-17T19:43:23+02:00;2021-09-17T20:09:52+02:00;Completo
0;1879E6CA71C36B06D7175FB49F86AB9;2021-09-17T14:21:12+02:00;2021-09-17T19:40:52+02:00;Completo
0;C4499A62B186542BF3563068114EBD;2021-09-17T09:47:38+02:00;2021-09-19T12:58:14+02:00;Completo
0;3623A78F4C2EA9F15D41DBCD1AB8A;2021-09-18T16:41:22+02:00;2021-09-19T08:27:19+02:00;Completo
0;6D52E82A56A2AF982F24ADA041721E85;2021-09-17T19:40:52+02:00;2021-09-19T08:27:19+02:00;Completo
0;B1ADD6588CFC70F57F50CF87AAF389;2021-09-17T21:21:43+02:00;2021-09-19T08:27:19+02:00;Completo
0;A17DCE17734C47AB7FF5AE29896E9AC;2021-10-03T13:28:30+02:00;2021-10-14T13:51:35+02:00;Completo
0;5256E5167F3C95D69AE9F8F6AC71;2021-09-17T13:47:27+02:00;2021-09-17T19:49:11+02:00;Completo
0;A85D113736515E96F0710B4910D35D;2021-09-16T12:41:34+02:00;2021-09-17T07:26:42+02:00;Completo
0;C49F8BFD12FF659BD8B33484B48F955;2021-09-19T20:50:57+02:00;2022-09-01T21:01:16+02:00;Incompleto
0;B4505D9DDFC3EA6F6A55922E348CF1B;2021-09-24T17:39:42+02:00;2021-09-24T20:25:38+02:00;Completo
1;B67FE0DDA769857859F777991828BD18;2021-10-09T18:01:06+02:00;2021-10-09T18:11:42+02:00;Completo
1;9FA5C0A57A3898085745391D737BA94;2021-09-24T10:11:23+02:00;2021-11-12T10:12:13+01:00;Completo
1;C4499A62B186542BF3563068114EBD;2021-09-24T17:39:17+02:00;2021-10-02T17:38:29+02:00;Completo
1;D4B61A523EEB5C6CA4B76269DD08;2021-09-24T20:07:11+02:00;2021-09-25T10:26:19+02:00;Completo
1;8C5BD452F2D4A336CF3EAA4A728F6C;2021-10-04T17:26:59+02:00;2021-11-11T20:51:00+01:00;Completo
1;9E92E549A9287C7A1F08E3F999D4EC9;2021-10-04T15:10:20+02:00;2021-10-07T13:27:04+02:00;Completo
1;5256E5167F3C95D69AE9F8F6AC71;2021-10-01T12:07:50+02:00;2021-10-04T10:26:12+02:00;Completo
1;B1ADD6588CFC70F57F50CF87AAF389;2021-09-26T20:14:04+02:00;2021-10-04T10:26:12+02:00;Completo
1;593FA92322C4E5C6CF3D126A5B9EF;2021-08-31T12:13:32+02:00;2021-10-07T17:18:09+02:00;Completo
1;FD34CBD5FDDC181E8AC9423A27104B55;2021-09-24T17:39:28+02:00;2021-09-30T07:46:19+02:00;Completo
1;30CAB910CB833A6A87CC96FA7793C6D2;2021-09-29T15:44:20+02:00;2021-10-07T13:15:47+02:00;Completo
1;427B5A8A997665E724DA742DF9520A3;2021-11-16T12:05:23+01:00;2021-11-16T12:08:13+01:00;Completo
1;3C3EDC31AEAF8A958C4271FCE761BCFD;2021-09-30T15:15:50+02:00;2021-10-16T10:26:19+02:00;Completo
1;7311FF7E2B925D36243F5F99314AAFC;2021-09-29T15:43:55+02:00;2021-10-22T20:02:44+02:00;Completo
1;A9B14046CDB1D538916FB24F188B48E;2021-09-26T20:12:58+02:00;2021-09-28T17:07:54+02:00;Completo
1;C3574537C1172050F85AC1EBE4C9FEBB;2021-09-26T17:44:05+02:00;2021-10-04T10:26:12+02:00;Completo
1;1879E6CA71C36B06D7175FB49F86AB9;2021-09-27T14:26:55+02:00;2021-10-04T17:47:39+02:00;Completo
1;C49F8BFD12FF659BD8B33484B48F955;2021-10-21T07:06:01+02:00;2021-11-11T20:51:00+01:00;Completo
1;EDA21C5ABAEFDF0D573F6ADDDE32BA1;2021-10-11T18:50:48+02:00;2021-10-26T20:42:17+02:00;Completo
1;A17DCE17734C47AB7FF5AE29896E9AC;2021-10-03T17:24:49+02:00;2021-10-07T14:27:08+02:00;Completo
1;3BDEE7678FE7FC5DDD75AA7BF8288BF7;2021-10-03T19:29:33+02:00;2021-10-17T13:55:32+02:00;Completo
1;A85D113736515E96F0710B4910D35D;2021-09-27T11:48:21+02:00;2021-09-30T20:33:26+02:00;Completo
1;D0CED9DDA8DCEBFC21AE7E0633F9179;2021-10-07T07:24:53+02:00;2021-10-19T08:39:16+02:00;Completo
1;ECF3E3582C216E63B19549C85371CEF;2021-09-24T07:16:17+02:00;2021-09-29T07:40:27+02:00;Completo
1;EBEABA5144FD295D51ED2854A4DF8D44;2021-09-25T11:31:54+02:00;2021-09-28T16:02:46+02:00;Completo
1;6D52E82A56A2AF982F24ADA041721E85;2021-09-24T17:38:56+02:00;2021-09-29T07:40:27+02:00;Completo
1;D2626683DD32562E86A2D56C9AAED54;2021-10-22T20:12:23+02:00;2021-10-25T20:52:41+02:00;Completo
1;DBBE942EB09F934B37B13C8F3FE163;2021-09-25T19:16:05+02:00;2021-09-29T07:40:27+02:00;Completo
1;1ADD487FB554E1FE4AC1A889D29ED32;2021-10-11T18:50:48+02:00;2021-10-22T20:02:44+02:00;Completo
1;371123959749CDEB43262A178F934DDC;2021-10-07T07:24:29+02:00;2021-10-07T17:03:09+02:00;Completo
1;B4505D9DDFC3EA6F6A55922E348CF1B;2021-09-25T20:55:52+02:00;2021-10-07T14:12:08+02:00;Completo
1;FB445C4D6B7CF24219D0E98D1A48949;2021-09-25T19:16:22+02:00;2021-09-30T20:33:26+02:00;Completo
1;9662C55436CC15B3AD8AC3B23E259A1D;2021-10-05T20:33:23+02:00;2021-10-09T18:23:42+02:00;Completo
1;BB27C0383E9D6F515BCBA7361E485A4;2021-09-30T07:19:21+02:00;2021-10-27T17:24:40+02:00;Completo
1;E2E541D86071B488CCDAD6AFBC9D6532;2021-10-08T17:12:20+02:00;2021-10-10T09:33:19+02:00;Completo
1;95CFFA89C509ADE28E1AB788379F6F4;2021-09-27T18:58:47+02:00;2021-10-02T09:21:13+02:00;Completo
1;3623A78F4C2EA9F15D41DBCD1AB8A;2021-09-27T19:33:46+02:00;2021-10-06T12:40:34+02:00;Completo
1;6550A03E61ED7E35D2F3D7EEDF7E14B;2021-10-06T16:47:36+02:00;2021-10-15T09:54:22+02:00;Completo
2;6D52E82A56A2AF982F24ADA041721E85;2021-10-10T19:20:39+02:00;2021-10-12T20:25:18+02:00;Completo
2;9E92E549A9287C7A1F08E3F999D4EC9;2021-11-17T20:42:30+01:00;2022-02-08T13:20:04+01:00;Incompleto
2;3BDEE7678FE7FC5DDD75AA7BF8288BF7;2021-11-01T18:49:09+01:00;2021-11-11T20:51:00+01:00;Completo
2;7311FF7E2B925D36243F5F99314AAFC;2021-11-05T09:21:35+01:00;2021-11-05T11:30:57+01:00;Completo
2;ECF3E3582C216E63B19549C85371CEF;2021-10-10T19:22:10+02:00;2021-10-20T08:23:54+02:00;Completo
2;78E465D23ECD603C4BD76CF46B4D51E;2021-11-14T13:50:41+01:00;2021-11-26T07:18:20+01:00;Completo
2;1879E6CA71C36B06D7175FB49F86AB9;2021-10-10T14:13:51+02:00;2021-10-14T14:46:24+02:00;Completo
2;9662C55436CC15B3AD8AC3B23E259A1D;2021-10-19T09:27:19+02:00;2021-10-27T08:41:21+02:00;Completo
2;8936268A4314A8736AA5F612464E8E39;2021-11-14T13:50:41+01:00;2021-11-22T18:34:43+01:00;Completo
2;C3574537C1172050F85AC1EBE4C9FEBB;2021-10-11T14:30:49+02:00;2021-10-17T09:21:40+02:00;Completo
2;427B5A8A997665E724DA742DF9520A3;2021-12-10T10:25:58+01:00;2021-12-12T10:47:14+01:00;Completo
2;6550A03E61ED7E35D2F3D7EEDF7E14B;2021-10-27T12:08:34+02:00;2021-10-27T12:10:49+02:00;Completo
2;E2E541D86071B488CCDAD6AFBC9D6532;2021-11-03T14:47:23+01:00;2021-11-13T19:46:41+01:00;Completo
2;5256E5167F3C95D69AE9F8F6AC71;2021-11-15T19:43:34+01:00;2021-11-19T07:46:57+01:00;Completo
2;FD34CBD5FDDC181E8AC9423A27104B55;2021-10-09T10:25:43+02:00;2021-10-16T10:57:05+02:00;Completo
2;D2626683DD32562E86A2D56C9AAED54;2021-11-15T18:36:42+01:00;2021-11-26T14:11:39+01:00;Completo
2;8C5BD452F2D4A336CF3EAA4A728F6C;2021-12-10T13:46:15+01:00;2022-02-08T13:20:04+01:00;Incompleto
2;EDA21C5ABAEFDF0D573F6ADDDE32BA1;2021-11-10T19:13:40+01:00;2021-11-18T10:18:21+01:00;Completo
2;A17DCE17734C47AB7FF5AE29896E9AC;2021-10-25T17:14:20+02:00;2021-11-21T10:40:29+01:00;Completo
2;A9B14046CDB1D538916FB24F188B48E;2021-10-09T18:00:21+02:00;2021-10-14T07:35:28+02:00;Completo
2;DBBE942EB09F934B37B13C8F3FE163;2021-10-09T18:00:55+02:00;2022-02-08T13:20:04+01:00;Incompleto
2;593FA92322C4E5C6CF3D126A5B9EF;2021-10-17T18:59:47+02:00;2021-10-21T07:37:26+02:00;Completo
2;A85D113736515E96F0710B4910D35D;2021-10-22T20:05:49+02:00;2021-10-27T08:41:21+02:00;Completo
2;3C3EDC31AEAF8A958C4271FCE761BCFD;2021-12-23T19:41:34+01:00;2021-12-23T19:43:29+01:00;Completo
2;D0CED9DDA8DCEBFC21AE7E0633F9179;2021-11-05T10:08:52+01:00;2021-11-11T20:51:00+01:00;Completo
2;B67FE0DDA769857859F777991828BD18;2021-10-28T07:14:06+02:00;2021-11-28T12:05:31+01:00;Completo
