Objetivo;Estudiante;Entrega;Correccion;Incompleto
0;2E3F716C76C5EEAF55657A9EF5447525;2023-09-15T09:37:16+02:00;2023-09-15T12:17:20+02:00;Completo
0;AA9121E4763CDDF76E353DA7BF67597;2023-09-15T09:48:38+02:00;2023-09-16T10:07:45+02:00;Completo
0;53AEFDA84D579B35551E51A6AD974834;2023-09-15T12:34:20+02:00;2023-09-16T09:26:16+02:00;Completo
0;158C229CE49927E33ACF997896F4C3FB;2023-09-15T13:12:19+02:00;2023-09-16T09:59:50+02:00;Completo
0;B353487EFB7CC138C9AF37FED04784BD;2023-09-15T13:12:32+02:00;2023-09-16T13:25:41+02:00;Completo
0;DCAF37756165A13321DB4C9C36A24E7E;2023-09-15T13:53:05+02:00;2023-09-15T17:37:55+02:00;Completo
0;6A3D18BA609B35E7C589DC6F34829C3B;2023-09-15T14:00:13+02:00;2023-09-29T14:23:28+02:00;Completo
0;91DBAE10CADAF7AB9BAF5B50B7FD4B99;2023-09-15T14:05:23+02:00;2023-09-21T13:45:29+02:00;Completo
0;551C802534D34B16C9E765D6CFEED7D1;2023-09-15T14:06:41+02:00;2023-09-15T17:31:45+02:00;Completo
0;A85A6A5B291D5D8E9E744B1DFD11CB;2023-09-15T14:09:16+02:00;2023-09-16T10:12:27+02:00;Completo
0;C987E251F2D7B0F2B0F79341418ADFD;2023-09-15T14:42:09+02:00;2023-09-22T17:33:50+02:00;Completo
0;51CA3AE47C2A84E49577519BB6C0CED6;2023-09-15T17:04:57+02:00;2023-09-16T11:48:16+02:00;Completo
0;CD1F79CB387F2FAB63833236C327AAA;2023-09-15T17:09:39+02:00;2023-09-18T07:32:50+02:00;Completo
0;E3434EF36C2D8DAF1F8CAB44849AD83A;2023-09-15T20:08:02+02:00;2023-09-16T11:34:57+02:00;Completo
0;26294D81DF91537468F856956A1EDCC;2023-09-16T20:23:00+02:00;2023-09-17T11:44:52+02:00;Completo
0;195957E5F2E6EB723028D96D3443751;2023-09-17T17:25:18+02:00;2023-09-21T14:21:38+02:00;Completo
0;7B4E3F48C1EAE53F782F95458D3A4E8;2023-09-18T01:21:07+02:00;2023-09-21T13:59:08+02:00;Completo
0;3C3EDC31AEAF8A958C4271FCE761BCFD;2023-09-18T10:40:15+02:00;2023-09-29T07:36:14+02:00;Completo
0;71329FAA5E2512D267C4BCD415273;2023-09-18T18:46:30+02:00;2023-09-18T19:20:48+02:00;Completo
0;2D1D418B145F2A3137156C8D8BD9E248;2023-09-18T19:11:48+02:00;2023-09-21T13:56:31+02:00;Completo
0;D57E74F617270BEFCF3F1CE22573E60;2023-09-18T19:24:38+02:00;2023-10-04T12:08:14+02:00;Completo
0;D4E522EDFCA03513F0254AD7D642358;2023-09-19T10:57:57+02:00;2023-09-21T14:03:28+02:00;Completo
0;626B7BE0F8C4B1BBBBA9776FE9997586;2023-09-19T16:55:55+02:00;2023-09-21T14:15:11+02:00;Completo
0;6B931B66884B018EDE88C9AEAF8A916;2023-09-19T18:52:02+02:00;2023-09-19T20:44:58+02:00;Completo
0;58B2A3F11CCFC29D4393D3BC595A349D;2023-09-19T20:45:56+02:00;2023-09-21T14:39:55+02:00;Completo
0;C57A1F2846495146F4CFC30A8ADB2D3;2023-09-20T13:56:28+02:00;2023-09-22T14:25:46+02:00;Completo
0;222E127C8E556917B194F2B64C853;2023-09-21T11:29:30+02:00;2023-10-06T13:52:13+02:00;Completo
0;589AB8DFA3CB87158ABE91C73621F70;2023-09-22T09:15:31+02:00;;Incompleto
0;E0D213EA9ABBAFB5651F4A8BB11456EB;2023-09-22T10:06:34+02:00;2023-09-29T09:52:12+02:00;Completo
0;CF8A406CEE78C9542A1F104C9A5CCF;2023-09-26T13:03:50+02:00;2023-09-28T12:00:15+02:00;Completo
0;3E7DFE5A29EB47E196259EBEB227603C;2023-09-26T14:30:38+02:00;2023-09-27T14:47:21+02:00;Completo
0;5C3ED8D72AFCFDAE8D3E93439B6D2A7A;2023-09-27T13:11:22+02:00;2023-09-28T17:31:15+02:00;Completo
0;BB4DB9D992AF256A3BE2B4BB90232B79;2023-09-28T20:44:44+02:00;;Incompleto
0;3EB9191E8556DDD54EC287A0AC7D54A;2023-10-03T18:29:53+02:00;2023-10-07T10:59:17+02:00;Completo
0;83A9A85CE2D55A45F4F2CE380A6C442;2023-10-05T19:51:42+02:00;2023-10-05T20:31:44+02:00;Completo
1;AA9121E4763CDDF76E353DA7BF67597;2023-09-21T12:09:42+02:00;2023-09-29T09:48:54+02:00;Completo
1;CD1F79CB387F2FAB63833236C327AAA;2023-09-21T16:47:04+02:00;2023-09-24T09:53:50+02:00;Completo
1;E3434EF36C2D8DAF1F8CAB44849AD83A;2023-09-21T18:02:13+02:00;2023-09-27T14:06:29+02:00;Completo
1;DCAF37756165A13321DB4C9C36A24E7E;2023-09-22T10:46:55+02:00;2023-09-29T19:34:11+02:00;Completo
1;53AEFDA84D579B35551E51A6AD974834;2023-09-22T11:41:06+02:00;2023-09-28T19:43:39+02:00;Completo
1;158C229CE49927E33ACF997896F4C3FB;2023-09-22T12:49:18+02:00;2023-10-02T19:22:14+02:00;Completo
1;26294D81DF91537468F856956A1EDCC;2023-09-22T14:02:21+02:00;2023-09-25T20:29:34+02:00;Completo
1;2E3F716C76C5EEAF55657A9EF5447525;2023-09-22T18:31:45+02:00;2023-10-10T19:57:03+02:00;Completo
1;7B4E3F48C1EAE53F782F95458D3A4E8;2023-09-23T12:28:43+02:00;2023-09-27T07:42:22+02:00;Completo
1;51CA3AE47C2A84E49577519BB6C0CED6;2023-09-23T12:58:15+02:00;2023-09-30T09:44:17+02:00;Completo
1;551C802534D34B16C9E765D6CFEED7D1;2023-09-23T18:10:39+02:00;2023-09-26T20:39:14+02:00;Completo
1;91DBAE10CADAF7AB9BAF5B50B7FD4B99;2023-09-23T19:20:25+02:00;2023-09-25T17:56:50+02:00;Completo
1;A85A6A5B291D5D8E9E744B1DFD11CB;2023-09-23T19:25:38+02:00;2023-10-06T13:48:35+02:00;Completo
1;D4E522EDFCA03513F0254AD7D642358;2023-09-24T19:56:53+02:00;2023-09-26T09:42:21+02:00;Completo
1;C57A1F2846495146F4CFC30A8ADB2D3;2023-09-25T11:06:05+02:00;2023-10-05T12:29:46+02:00;Completo
1;58B2A3F11CCFC29D4393D3BC595A349D;2023-09-25T14:16:42+02:00;2023-09-29T09:38:21+02:00;Completo
1;B353487EFB7CC138C9AF37FED04784BD;2023-09-26T16:30:43+02:00;2023-10-02T20:17:05+02:00;Completo
1;71329FAA5E2512D267C4BCD415273;2023-09-26T16:41:40+02:00;2023-10-03T11:31:25+02:00;Completo
1;6B931B66884B018EDE88C9AEAF8A916;2023-09-26T18:18:57+02:00;2023-09-29T09:56:29+02:00;Completo
1;626B7BE0F8C4B1BBBBA9776FE9997586;2023-09-27T17:48:27+02:00;2023-10-03T11:25:55+02:00;Completo
1;2D1D418B145F2A3137156C8D8BD9E248;2023-09-27T21:01:22+02:00;2023-10-01T18:05:52+02:00;Completo
1;C987E251F2D7B0F2B0F79341418ADFD;2023-09-28T09:07:33+02:00;2023-10-27T17:30:09+02:00;Completo
1;3E7DFE5A29EB47E196259EBEB227603C;2023-09-28T11:49:16+02:00;2023-10-01T11:41:07+02:00;Completo
1;195957E5F2E6EB723028D96D3443751;2023-09-29T13:17:25+02:00;2023-10-05T09:54:52+02:00;Completo
