Objetivo;Estudiante;Entrega;Correccion;Incompleto
0;152F52212D5E4E2BE2FCA7EC36E8071;2022-09-15T00:46:47+02:00;2022-09-21T09:48:01+02:00;Completo
0;D0A84B6E32DA99B80B31CF3282695C6;2022-09-15T12:02:19+02:00;2022-09-15T17:43:21+02:00;Completo
0;94D175CBFD1ACF2E3145646715C54;2022-09-16T09:26:43+02:00;2022-09-16T13:48:24+02:00;Completo
0;DA1E5596C83E2D48C86756371982CC3;2022-09-16T09:37:38+02:00;2022-09-21T10:02:05+02:00;Completo
0;FC5EB03260C79DFCF11A1B42DB5FF79;2022-09-16T09:38:42+02:00;2022-09-24T10:37:43+02:00;Completo
0;1FADEABCE55ED7C688040E1A4329859;2022-09-16T10:22:44+02:00;2022-09-25T10:04:32+02:00;Completo
0;2A5AD9276A52849D77B75E895EAA5F4;2022-09-16T10:25:34+02:00;2022-09-25T19:41:47+02:00;Completo
0;D8E3E262776F843D113819FACE4372;2022-09-16T10:41:44+02:00;2022-09-24T09:26:57+02:00;Completo
0;60D5746CAC8D5A9C4A287B71DF675624;2022-09-16T12:29:35+02:00;2022-09-17T18:35:50+02:00;Completo
0;3C3EDC31AEAF8A958C4271FCE761BCFD;2022-09-16T15:32:33+02:00;2022-09-17T11:57:23+02:00;Completo
0;B12AE8DBCAF460D56A7DAA147D83B59;2022-09-16T18:05:08+02:00;2022-09-21T17:52:10+02:00;Completo
0;CF966CF939E1E307D2B7224B9F79A39;2022-09-16T19:23:17+02:00;2022-09-22T19:53:45+02:00;Completo
0;199E904FCA8132B8CC4B5718598E0CE;2022-09-16T19:40:14+02:00;;Incompleto
0;142B52CB9B72EF5FC24B45B993B61B;2022-09-16T19:42:04+02:00;2022-09-24T10:35:28+02:00;Completo
0;4593936DBAB31C1461FF27AA19FF7CD;2022-09-16T19:52:56+02:00;2022-09-22T17:29:27+02:00;Completo
0;C4703EDFF467FDE4EA6AD8851958255;2022-09-17T21:45:50+02:00;2022-09-20T12:14:32+02:00;Completo
0;AB59097FA3BA572D7BF4F34BF92F86;2022-09-17T22:54:15+02:00;;Incompleto
0;C227323CB124547D1A92FACE792532D;2022-09-18T15:31:25+02:00;2022-09-24T10:39:52+02:00;Completo
